@relation taptap_reviews

@attribute text string
@attribute class {pos,neg}

@data
'一颗 星 不想 有毒 手机 打不开 一个 单机游戏 想要 权限 想 干嘛',neg
'非常 棒 玩 好久 一个 问题 个人 认为 怪兽 联盟 对战 模式 真的 非常 好玩 怪兽 勋章 需要 蓝币 抽 宝箱 对战 胜利 没有 奖励 建议 加点 任务 奖励',pos
'真的 非常 喜欢 一部 游戏 当时 画风 垂直 入坑 真的 美工 天花板 一个 角色 惊艳 剧情 写 打动 人心 每个 版本 剧情 顺水推舟 流畅 里面 刀 突然 发生 会 发现 原来 皆 伏笔 剧情 深度 挖掘 到位 想入 坑 或品 剧情 推荐 搜 版本 再见 来亚 什基 剧情 深度 评析 版本 真的 特别 打动 一位 位 npc 僵硬 纸片 融入 许许多多 真情 仿佛 一个个 真实 存在 喜欢 一个 版本 这是 理想主义 现实主义 交融 现实 中 难以 彻底 实现 共产主义 剧情 真 流露 淋漓尽致 构造 出 一个 几近 完美 乌托邦 真的 强推 最初 现实主义 最终 理想主义 献身 真的 特别 哭 剧情 中 流露 星星点点 暖意 懂 苏联 版本 杀伤力 图片 发 下面 纯路 npc 五官 可能 不会 特别 细致 刻画 剧情 中 没脸 npc 许许多多 发言 群像 做 非常 非常 可玩度 方面 不错 每个 版本 小游戏 玩 个人 觉得 肝度 不算 高 每个 版本 免费 皮肤 周年 庆 新春 送 特别 现在 新春 版本 入坑 真的 爽 福利 超级 版本 新手 福利 大幅 提升 新手 开荒 卡关 问题 评论 问问 完 年 真的 强推 玩 问题 会 尽力 解答',pos
'好玩 好玩 爆率 低 g',pos
'好玩 爱玩 没人 陪',pos
'玩 好玩 下载 时间 长',pos
'一款 开放 世界 类 武侠 游戏 剧情 丰富 玩法 很多 衣服 好看 手机 配置 不行 建议 不玩 下载 云 逆水 寒 经历 不用 手机 配置 整体 画质 非常 非常 推荐 款 游戏 自由度 高 世界地图 好看 自由 捏 脸 染色 氪 氪 无所谓 游戏 氪 玩 推荐 几个 区 紫禁 巅 武林 盟主 明月 天涯 几个 区 比较 男女 玩 免费 赠送 衣服 好看 养 宠物 做 喜欢 身份 舞者 一款 16 游戏 现实 中 满足 不了 崽 安排 看法 建议',pos
'I 39 m sorry 玩太菜 现在 没出 新手村 游戏 非常 非常 好玩 一点 缺点 内存 占得 太大 理解',pos
'激情 上线 激情 种树 激情 免费 十 激情 下线',pos
'差评 差评 差评 改 改 不想 说好 直接 一个 差评 把妲己 换成 灵宝 缺钱 圈 多钱 不够 圈小妲己 钱 666 黑心 商家',neg
'可玩性 不高 差不多 算是 电影 故事 感人 有点 没看 懂 太绕 恶意 剧情',pos
'作者 好瑟 崇了',pos
'花里胡哨 页面 我忍 勾诗 皮肤 忍 但冈易 改 按键 意思 知道 一个 老 玩家 痛苦',neg
'赢 还给 减分',neg
'确实 越做越 各个方面 不断改进 优化',pos
'干嘛 不让 玩 不封 10 年 本事 封 10 年',neg
'养老 游戏 电子 花盆 玩 一圈 二游 肝 氪 肝 最终 回到 现在 自动 作战 连续作战 更 减负',pos
'官网 开服 玩家 知道 tap 不会 显示 追究 夸 很多 话 想 说 感慨 欣赏 欣慰 最终 放弃 写 长篇大论 绝对 懒 现在 鸣潮 漂泊者 结束 过程 曲线 美好 一笔带过 无法 替受 牵连 原谅 受益 没有 立场 指责 当时 无奈',pos
'一个 按键 四个 功能 干',neg
'状况 今天 晚上 登陆 时 之前 买 曲包 没 人物 没 等级 没 变 求 解答',pos
'情人节 卡池 改 五星 剧情 卡面 造型 神中神',pos
'打击 感 打击 特效 技能 特效 做 难度 Boss LOGO 做 不错 期待 一部 剧情 做 深刻 彩蛋 做 不错',pos
'关卡 有点 少 特别 气 旁白 更棒',pos
'库洛牛 逼',pos
'开 服入 坑 玩家 没 退游前 几乎 全勤 后来 活动 太 加上 没太多 时间 肝 退游 一段时间 后来 回来 剧情 人物 吸引 删 加上 原神 已经 不怎么 玩 现在 决定 再下 回来 好玩 辛辛苦苦 肝到 50 多级 号 太 舍得 甩 觉得 入坑 比较 值 福利 挺 人物 剧情 独特 方面 适合 入坑',pos
'方面 挺 音游 苦手 纯当 剧情 播放器',pos
'恋 深空 里面 男主 很帅 以前 玩 恋爱 游戏 里面 流浪 体 女主 动作 超帅 自行 捏 脸 真正 做到 独一无二 实时 渲染 每个 看到 男主 有所不同 真正 做到 属于 一个 恋 深空 里 流浪 体 五位 男主 谈恋爱 产生 剧情 抽卡 女主 衣服 好看 款 游戏 值得 游玩',pos
'游戏 那个游戏 味道 味道 年前 发售 体验 死样 新区 克老 争霸 老区 空巢 老人 最近 手游 知道 玩 审美疲劳 回来 看看 好好 体验 一下 空巢 老人 感觉 回去 继续 肝',pos
'诶 15 48 涨到 15 68',pos
'刚 花钱买 30 闪 退出',neg
'买旁 白送 游戏',pos
'酷 今年 玩 续作 明年 爽',pos
'皮肤 精美 游戏 好玩 交友',pos
'不错 体验 感 简洁 界面 音质 推荐 用大屏 玩',pos
'豪玩 玩久 有点 腻',pos
'手机 不太好 操作 手柄 手柄 玩 操作 上会 很大 提升',pos
'恋爱 感 陪伴 感 很淡 代入 感 差 女主党 骑脸 灯光 画 事件 hhh 文案 难评 资源 获取 抠 抽卡 爆率 极低 本事 送个 SSR 谁家 快 五年 常驻 SSR 送 一张 可玩性 无聊 一星 男主',neg
'26 号 买 本体 没有 减半 价',neg
'游戏 萌新 福利 十分',pos
'好久 没有 游戏 震撼 真是 跳',pos
'怎么回事 好不容易 换 新手机 回来 玩 不了',neg
'个人 觉得 挺 社区 环境 每个 卡池 前 会 骂 习惯',pos
'游戏 良心 抽卡 资源 够 肝 几乎 保证 up 次 全出 玩 两年 目前 没有 卡过 几次 船 没有 破大防 可能 挂 alas 刷大 世界 魔方 关系 话 说 回来 脚本 问题 看到 很多 玩家 反感 脚本 玩家 有没有 想过 很多 脚本 玩家 使用 电脑 条件 没有 肝 游戏 时间 难道 一个 ml 游戏 花钱 帮 肝 游戏 想一想 合理 官方 默许 只能 说明 游戏 肝度 问题 早就 应该 官方 优化 不能 一键 清图 倒油 诸多 问题 稍微 有点 脑 回路 想到 玩 游戏 冲着 立绘 特触 应该 国内 业内 第一 抽卡 资源 不会 挂 电脑 后台 红尖 尖 福利 发放 发现 黄鸡 好像 越来越 抠门 氪 金 主线 图鉴 刷 该死 委托 知道 出不出 出 未知 性 只能 鸡 官方 发不发 点儿 多发 点儿 影响 玩家 皮肤 氪 金 新手 入坑 玩 后面 卡 船坞 真的 麻烦 迫不得已 退役 唯一 船 目前 唯一 打算 一直 玩 下去 一款 游戏 希望 官方 听取 建议 早点 一键 清图 肝度 功能 上线 实机 多发 点 福利',pos
'想 割 韭菜 想 独立 单机 搞不懂 游戏 画风 机制 太干 恨不得 一天 24 小时 在线 打游戏 上班',pos
'月 计 联动 游戏',pos
'知道 好玩 游戏 时 根本 知道 干什么 随便 点 赢 抽奖 离谱 根本 得不到 东西 得不到 抽奖 道具 加载 界面 半天 加载 完 频繁',neg
'登录 登录 不了',neg
'可玩性 匹配 机制 联合 狩猎 监管者 匹配 一个 小时 匹 求生 秒 开 根本 玩 不到 想 玩',neg
'想 玩 灾厄 模组',pos
'表面 冰清玉洁 实则 暗地里 打压 同行 恶人先告状 我勒个 赛博 黑社会',neg
'可玩性 非常 强 送 小鱼 干 很多 角色 肝 福利 非常',pos
'八年 永远 喜欢 阴阳师 希望 zen 阴阳师 一点',pos
'不错 修改 不同 基本上 没什么',pos
'求求 策划 al 少 一点 行 跑 图全 al 个个 神枪手 枪 磨掉 甲 三分之一 耐久 偷人 屁股 永远 al 暴露 位置 真的 语 新 版本 暗改 al 加强 爆率 削 航空箱 全是 蓝小绿 玩个 屁 端游 全是 天才少年',neg
'多年 头一回 见 越 送 越少 游戏',neg
'抽卡 简直 保底 每次 偏 真 恶心 运营 服务 真的 恶心 保底 保底 保底 永远都是 保底 永远 歪 160 抽 吃 两次 保底 两次 歪 玩过 游戏 第一次 遇到 恶心 崩坏 二 崩坏 三 原神 骨灰级 玩家 这一弄 真的 恨 屋及 乌 看见 恶心 真的 策划 运营 看来 脑子 真的 有点 毛病 可玩性 级差 级差 解密 又臭又长 抽卡 保底 歪 画面 音乐 有点 优点',neg
'好玩 点 好友',pos
'更 完 进不去 卡 加载 界面 进不去 啊啊啊 啊啊啊 存档 更新 完 老 存档 进去 哈哈哈 哈哈哈 哈哈哈 终于 不用 每次 更新 重新 开 一个 存档 刷 熔炉 累死 跳 长 跳 蹦 起来 现在 爬根 铁链 费劲',pos
'崩坏 互防 膨胀 铁道 值得 拥有 一年 更 四年 强 看好 游戏 米家 最高 开 游戏 一年 口碑 反转 极速 下滑 平衡性',pos
'这款 游 戏曲 库 很多 非常 好玩 手感 佳 非常适合 练手 速 反应力',pos
'好玩 低龄 有点 环境 有点 小乱 希望 星野 临战 早点 出 朋友 玩 服都 玩 好久 羡慕',pos
'歪 七个',neg
'五星 求见 猪厂 拉 低 游戏 想 玩 启动器 国际版 别玩',pos
'非常 活动 晶片 旋转',pos
'见 第一个 策划 生怕 玩家 玩 太 开心 粘性 太高 游戏 铁了心 玩家 赶走 不断 试探 玩家 底线 不断 削减 活动 奖励 PVE 大规模 活动 超 鬼王 第一次 砍 奖励 一直 演都 不演 给出 公告 敷衍 加 耐心 祝 早日 凉凉',neg
'音游入 坑 很绝 手 简单 获取 卡 难度 不高 很多 热门 歌曲 翻唱 多种 风格 歌曲 乐队 喜欢 入坑',pos
'多个 一星 蒙德 璃 月 份',neg
'phigros 安装 不了 发现 更新 现在 一直 卡 安装 中',pos
'华为 鸿蒙 系统 不能 玩 玩 希望 尽快 安排 真的 喜欢 类 游戏',pos
'一星 好评 原本 想要 寒假 好玩 游戏 告诉 老子 刚 买 东西 挡 删 我爱你',neg
'说 三测 体验 之后 刚开服 玩 几天 体验 不太好 前些天 回来 整体 提高 幅度 很大 不好 点 打击 类 游戏 添加 大量 没 必要 走 格子 游玩 体验 不好 优化 差 记得 三测 开服 没差 多久 上线 之后 发热 快 感觉 掉 帧 前些天 回来 看看 开了个 新 号 体验 一下 之前 号 米 号 出 掉 走 格子 没 剧情 改了 原本 走 格子 地方 变成 绑布 这点 玩 3d 益智 探索 不想 玩 推 箱子 保留 走 格子 选项 好像 留住 喜欢 走 格子 体验 一关 剧情 直接 买 号 现在 优化 没有 那种 卡 顿感 建模 不错 没 找到 自拍 玩法 多样 保留 战斗 保留 走 格子 小游戏 里面 肉鸽 小游戏 挺好玩 联机 模式 福利 多不伤 肝 每个 版本 活动 出 很多 不少 崩铁 版本 送十连 凹 玩家 日常 玩家 肝 肝 中间 选择 打造 光碟 副本 掉落 装备 自选 主 词条 之前 玩 没有 感受 战斗 开头 镜头 容易 玩家 代入 进 角色 一点 重要 一点 绝区 零 感觉 真的 听 劝 不好 改 现在 原神 崩铁 势头 太大 很难 看见 希望 一个 虚狩 不要 数值 买 号 带雅 刷 日常 上面 包括 周本 蛮 轻松 今天 试用 一下 新 角色 大安 单体 伤害 连击 易断 想入 坑 周年 叭',pos
'适合 新手 玩 游戏 体验 全在 之前 一批',neg
'款 游戏 值得 体验 玩 一会儿 爱不释手 不要 多多 玩 少玩',pos
'推荐 21 玩 喜欢 音乐 剧情 推荐 喜欢 角色 行 退坑 一段时间 两年 一个 限定 池 出 陪 跑 限定 基本上 保底 六星 出率 56 70 抽出 麻 退 恶心 坏',pos
'开服 星期 玩 中间 淡游 退过 下载 主要 手机 内存 不太够 上次 卸载 玩崩铁 看见 新春 288 时装 自选 崩铁 卸载 重新 回来',pos
'里面 有趣 蛋仔 派对 玩家 可爱',pos
'世界 做 不错',pos
'六编 现在 随机 刷新 一下 评价 依然 全 图鉴 角色 强度 没什么 讨论 网上 说 说 皮肤 全清 说 整个 体验 下来 有点 意思 无聊 活动 内容 迷思 海 400M 更 没什么 想 主线 以外 表现 中规中矩 说 五编 春节 版本 节奏 不行 调整 评分 更新 角色 持有 版本 应该 已经 全 图鉴 版本 唯一 友好 应该 抽卡 两个 角色 没 歪 以外 连续 三个 池子 发出 货 剧情 目前 来看 基本 正常 发挥 没 问题 求 放过 买 皮肤 越来越 疯狂 一个 版本 买 一到 两个 版本 全清 补 四个 没有 策划 快 美工 跪下 四编 箱中 巡游 爽 更新 角色 持有 抽卡 体验 目前 缺 一个 塔子 姐全 图鉴 塔子姐 走 不进 我家 个人 体验 下来 剧情 演出 依然 符合 主线 功底 认可 知道 17 抽出 限定 买 37 鬃毛 维拉 皮肤 鬃毛 推必 买 37 维拉 太美 买 不行 福利 认为 送 到位 不能 排除 后续 版本 割 韭菜 做 铺垫 深眠域 越 出越 简单 主线 难度 适中 挂机 下次 填 特别 简单 以下 个人观点 一个 死去 节奏 完全 没 必要 势头 游戏 跑 三次 层面 挺 吓人 一个 觉得 现在 出 角色 强度 部分 吃 配队 xp 强度 图鉴 党 没 必要 吵起来 接下来 半 三编 更新 角色 持有 个人 签名 抽卡 体验 下面 新出 下个 版本 改 不能 快 进到 19 想要 大叔 皮肤 爸爸 我求 J 老公 皮肤 不能 排上 号 版本 整体 演出 满意 剧情 比起 绿湖 瑕疵 比较 缺点 蓝 手帕 抽 毒火队 体验 个人 喜欢 蓝 手帕 大招 太帅 啊啊啊 阿尔古斯 歪 维拉 不想 继续 抽 维拉 没有 留给 娜娜 洛 佩拉 大叔 组队 嘻嘻 鬃毛 推 喵 个人 体验 下来 阿尔古斯 升阶 队 确实 强度 不低 没 马库斯 强度 稍稍 打个 折扣 补充 18 发大 保底 阿尔古斯出 这期 鹿 蜀 阿尔古斯 标准 四木队 终于 红 s 现在 红 s 嘻嘻 前瞻 愣 愣 抽 框框 送给 懵 说 空降 限定 光 一个 版本 挖 抽 差不多 整个 保底 搞 限定 焦虑 真 没 必要 随机 常驻 new 六星 缺 角色 补 图鉴 运气 凑 队伍 全有 补 塑造 白送 一个 六星 不乐意 难道 想 官方 70 抽 吃 满 保底 歪 一个 塔子姐 福利 说 个人 认为 福利 周年 庆 已经 差不多 剧情 演出 二编 更新 等级 角色 持有 角色 数值 膨胀 爆雷 完全 理解 合生汇 线下 X11 爆满 幸好 住 近 别入 坑 反正 现有 毛病 二 周年 估计 一定 会改 改主 界面 音乐 之后 适合 挂机 最近 闷 要死 前两天 一直 下雨 箱子 里 下雨 挺 氛围 维尔 汀 这件 事 角色 厨 一直 剧情 电影 故事书 来看 准确 取名字 比起 主角 更 上帝 视角 玩家 实在 没 办法 代入 vertin 取名字 干嘛 个人观点 目前 游戏 时长 209 小时 刚入 坑 当主 游玩 70 级 基本 进入 养老 阶段 立绘 建模 说实话 深蓝 真得 美工 跪 一下 角色 画风 风格 目前 移动 端二游 市场 独具一格 潦草 精致 角色 立绘 大部分 角色 包括 皮肤 用心 l2d 部分 建模 立绘 跪 一下 下来 争议 建模 人体 构造 外违 感 没 重 角色 人设 主线 角色 人设 塑造 完美 优缺点 明显 人物性格 分明 部分 ss side story 角色 设计 没有 明显 问题 曲娘 其实 主线 角色 人设 觉得 新 主线 真的 目前 完美 一个 剧情 可能 没法 超过 谜语 人不乱 埋伏 笔 已经 算是 具体 角色 做 评价 总结 唯一 一句 新 主线 悲 喜 肝 氪 度 微 氪 大小 月 卡 双倍 大部分 皮肤 部分 礼包 目前 统共 大约 2k 周年 庆 确实 花 328 以下 价位 礼包 清 买 皮肤 个人 觉得 大部分 情况 游 双倍 礼包 实惠 礼包 买 完 想 买 皮肤 粹 雨滴 充值 货币 觉得 非必要 最好 攒 一下 肝度 认为 适中 游戏 刚入 坑 想 长期 玩 前期 获取 资源 稳定 练度 总会 肝 没 办法 你游 后期 算 快 75 级 养老 当期 版本 池子 正常 玩 觉得 近 两期 深眠域 打满 没什么 问题 平衡性 数值 方面 觉得 溢出 老 角色 爆 金币 确实 真的 老 角色 目前 找 上场 机会 方式 主要 对策 性 槲寄生 控制 星锑免 伤 练度 高 这种 觉得 基本 角色 厨 早期 爆练 老 角色 共鸣 15 上场 机会 实在 少之又少 游 公测 前 承诺 角色 机制 拆解 进 塑造 其实 没 做到 赚钱 寒碜 不太 抽 反正 会 歪 图鉴 党 鬃毛 推 喜欢 哑迷 放 数值 一部分 是因为 觉得 部分 伪 限定 有点 乏力 那种 歪 鬃毛 乐意 池子 我会 抽完 当期 up 立马 转战 鬃毛 那种 自选 补 图鉴 没选 老公 画面 音乐 出 唱片 机 之后 听 之前 歌 挺 开心 不禁 联想 隔壁 柳生 无期 迷途 支持 音乐 进 活动 商店 没什么 好吐槽 支线 剧情 音乐 符合 地区 背景 主线 酒神 颂 稍稍 超神 cg 没什么 问题 个人 爱 最后 晚餐 斯奈德 刀子 建议 好好 活着 就行了 关服 记得 退 钱 抽卡 体验 图鉴 党 其实 看重 抽卡 概率 这种 其实 没 必要 在意 东西 可能 霉运 原 吸走 一部分 运气 中规中矩 高开低走 早期 基本 提前 金 后期 吃 保底 加个 抽卡 历程 补充 所谓 杀熟 不太 明显 想 吐 槽 抽卡 至少 下个 版本 最近 zzz 运气 爆好 点点 担心 苏苏 歪 未 锈 铠 40 61 发 梅兰 妮 未 歪 26 发 小狗 未 出 牙仙及 一塑 未 歪 51 25 发 小鹿 50 发 不到 大叔 歪 知道 50 63 发 兔毛 手袋 up35 发出 波波 姐未出 37 估计 60 发 左右 未 歪 哥 知道 歪 40 几发 当期 未出 湖 丰饶 捞 远 旅给 未 锈 铠 将近 50 发 可燃 点 40 多发 未 歪 艾兹拉 40 多发 未 歪 金纺结 27 发出 二选 温妮 曲娘 一塑 附加 第一 只曲娘 附带 鬃毛 沙砾 13 歪 63 发 葛天 37 发 伊索 尔德 一塑 62 22 发未 歪 马库斯 50 发 左右 未 歪 哥 up 池 35 发未 歪 维拉 歪 37 总 67 发 当期 未出 哨 歌大 保底 65 发 露西 歪 温妮 67 65 发 最痛 一集 湖 应许 选泥 鯭 的士 50 发未 歪 卡 卡尼亚 63 发未 歪 0J 保底 卡 卡尼亚 出 之后 垫出 提前 金歪 31 63 发 环状 水星 60 发未 歪 蓝 手帕 56 发未 歪 阿尔古斯 58 18 歪 维拉 娜娜 17 发未 歪 笃笃 骨 26 未 歪 纸信 圈儿 61 发未 歪 芭卡洛儿 30 40 歪远 旅 图 图 石子 53 62 歪 阿尔古斯 梁月 43 发未 歪 菲林 士多 50 发未 歪 哨 歌池 一发 十连 双金喜 提 苏苏 二塑哨 歌二塑 湖 涟漪 发苏 芙 湖 启示 第一发 37',pos
'爆率 不错',pos
'家 游戏 里面 购买 歌曲 游戏币 获得',pos
'游戏 糖豆 模式 体验 极差 玩个 狼 杀 全是 小孩 语音 频道 里 瞎 喊 瞎 玩个 足球 游戏 一堆 bug 模式 抄抄 游戏 没劲 真的 玩 下去 卸载',neg
'邮箱 妻子',pos
'耐 玩性 先不说 DLC 一个 本体 小怪 图纸 有够 收集 真 耐玩王 真的 没 说 肝 随机性 设计 个人 运气 爆 图纸 开 宝箱 刷 词条 银杏 纯 脸 游戏 难度 细胞 慢慢 坐牢 小怪 血量 伤害 逐渐 抽象 boss 还好 熟悉 招式 没 坐牢 特别 照顾 手 残党 辅助 模式 没 办法 只能 菜 练练 打击 感 哐 哐 棒 大多数 游戏 无法比拟 武器 不同 手感 总能 找到 适合 武器 画面 音乐 帅到 爆炸 增加 轮廓 有意思 简直 碉堡 顺带 提要 加 阴影 更好 运营 服务 PE 十年 更 一次 一次 更 十年',pos
'万万 没想到 劝退 剧情 节奏 角色 大招 特效 三个 角色 上场 游戏 方式 确实 新颖 问 三个 放 特效 爆炸 大招 直接 手机 干成 ppt 666 优化 一下 手机 干成 ppt 真的 难评 剧情 总 感觉 主角 幼稚 文案 真的 抄 小学 作文 或许 看过 蹦子 战双 剧情 见 过辉 月 见 萤火 时 总 感觉 怪怪的 幽篁 好感 剧情 真的 觉得 转折 太过 突出 开头 后面 觉得 不错 写 评论 习惯 差评 发现 之前 周年 节奏 真的 18 亿谢条 怪 啧啧 啧 我刚 玩战 双时 遇到 血条 100 时 顶天 深空 生命 生涯 中 创新 高 节奏 百合 cp 文案 暴雷 啧啧 啧 尘白 遇到 情况 道歉 下线 整改 深空 剧情 不会 告诉 剧情 策划 没开 差评 官方 冷处理 猎奇 原定 128 皮肤 改 168 深空 快 噶 降 不降反升 听说 皮肤 没 变 这放 61 猎奇 加重 口 吃 相太 难看 最后 手机 优化 一下 三个 角色 放大 招 oppoA5 真 不住 真想 炸死 听 玩家 意见 出事 别老装 死 躲 初一 躲 十五 听 玩家 意见 不会 寄 隔壁 库洛 听 玩家 意见 不活 蒸蒸日上 策划 真的 该换 维考 前 几章 好感度 剧情 感觉 唐 太唐 坚持 玩 下去 一周 实际上 一周 时间 里 登入 没 几次 一个 刚入 坑 萌新 上线 角色 好感度 剧情 发现 一点 动力 没有 剧情 开头 太唐 更本 没有 下去 动力 支线 剧情 没有 看过 主线 剧情 完全 明白 讲 干成 恶性循环 开头 第一印象 重要 知道 总结 不出意外 感觉不好 或许 遇到 战双前 Xp 角色 只能 活动 见 运营 方式 我会 习惯 玩完 战双 过来 玩 深空 只能 感觉 深空 真 不会 赚钱 ml 知不知道 一个 游戏 刚开 服靠 态度 想 ml Xp 让玩家 坚持下去 动力 情人节 剧情 一个 没 做 剧情 图鉴 往年 没有 有个 书信 认 缺 偏偏 没有 接受 不了 想 Xp 角色 活动 一定 活动 周期短 认 长草期 多长 心里 没有 币数 周年 今年 五周年 活动 年 40 活动 没有 深空 赚钱 开摆 加油 深空 我闲 无聊 刷 taptao 真不知道 开战 双 崩子 勇士 敢 做 这类 游戏',pos
'手 难度 新手 很快 发育 起来 过于 干 氪 金',pos
'眼 改成 寒假作业 会 不会 更好 一点',pos
'qq 游戏 大厅',neg
'未入 坑 未来 少东家 看到 评论 请 下去 试图 手机 玩 游戏 手机 玩 画面 卡顿 闪退 bug 一堆 穿着 染过色 衣服 有时候 跳 水里 衣服 会 恢复 原来 颜色 后面 后面 云 玩 游戏 里 解密 恶心 人站 移动 板子 静止不动 人会 掉下来 策划 没上 过学 爬 房梁 解密 小兵 掉下去 两次 控制 不好 轮盘 掉下去 三次 大半夜 玩 气 红温 代入 感 代入 感 未入 坑 未来 少东家 入 接受 说 上面 信息 比较 社恐 入 一直 单机 玩 治病 活人 医馆 开 联机 刚 进去 很多 发 诊治 邀请 不用 沟通 治完 点个 赞',pos
'玩二游 从来 剧情 音乐 人设 差 更好 方面 丢掉 无语 真正 喜爱 一款 游戏 玩家 值得 敬佩 喜爱 大于',pos
'Good game But 想 说 发明 传奇 肉山 真是 天才',pos
'画面 音乐 剧情 没得说 顶 中顶 想 问 一个 周本 BOSS 放到 世界 任务 里 意思 嫌 凹 时间 不够 长 暂且不说 战斗 难度 问题 好多 世界 任务 又臭又长 奖励 还少 尤其 匹诺康尼 解密 更 尤其 不断 换 平面 那种 整个 流程 长 不行 偏偏 任务 不少 一个 任务 最少 解密 三次 不想 星琼 不要 不行 非得 整 重复 又臭又长 解密 恶心 难 很难 烦 少 做 几次 觉得 有意思 弄 纯 恶心',neg
'隔壁 更新 拉 踩 含金量 下跌 希望 继续 傲慢 早日 关服',neg
'用爱 发电 音游 方面 挺 希望 出点 按键 音效 15 谱面 难度 跨度 属实 离谱 希望 细分 真的 出个 没有 连击 分 模式 宽判 惯坏 课题 玩 适应 二改 首评 23 年 没想到 谱面 定数 真的 调整 说 说 看法 标准 变 更 宏观 一点 说 以前 会 几首 绝活 高 rks 代表性 更加 真实 不会 说 偏高 偏低 高 rks 标准 15 以后 非常容易 出现 无谱 情况 想涨 只能 刷 几首 15 主体 调 高 主要 这部分 卡死 属于 平衡 高 rks 水平 第九章 要出 顺手 定数 分隔 觉得 魔王 应该 会 17 定数 可能 18 抱 游玩 体验 觉得 满分 长期 游玩 可能 会 推分 乏味 最后 每次 联动 本家 魔王 爆 一爆 几首',pos
'评论 抽卡 机制 一坨 几乎 次次 保底 抽卡 机制 不合理 氪 微 氪 党 友好 需要 大量 肝活 一定 拿到 卸载 求 放过 直接 抽卡 抽红温',neg
'曲库 好多 喜欢 曲子 真的 感觉 判定 太拉 玩音游 多年 第一次 获得 miss 手机 党 特效 减弱 一下 真的 比较 妨碍 画风 好看 滴 尝试 玩 一下',pos
'文豪 野犬 联动 喵 喵 喵 大力支持',pos
'受不了 队友 坑 要死',neg
'立绘 建模 帅 帅 美的 美',pos
'非常 吃 操作',neg
'呦 没白 挖 新 角色 立绘',pos
'今年 周年 庆 个人感觉 游戏 风格 有点 借鉴 ba 样子 活动 基本 三板斧 碧蓝 好几个 年头 现在 市面 热门 游戏 竞争 压力 理解 优化 用户 体验 只会 参考 游戏 系统 硬套 进去 风格 搭 搭 说 肯定 会 游戏 越来越 复杂 臃肿 玩家 只会 更大 游玩 负担 可能 选择 游戏 加上 近 段时间 每次 活动 一波 节奏 问 谁错 想 游玩 碧蓝 玩家 希望 玩 游戏 氛围 一团糟 众多 角色 缺少 塑造 当年 史实 梗 畏冷 下来 表情 包出 圈 柴 郡 几年 前 角色 二创 越来越 现状 侧面 说明 一点 美服 周年 pv 出现 角色 人气 基本 强度 挂钩 至少 曾经 强 真正 人设 吸引 感觉 很少 没有 巴尔的摩 意外 本是 游戏性 不高 老 游戏 角色 越来越 人设 没有 剧情 塑造 变得 重复 没 记忆 点 个人 认为 陆续 出 没什么 塑造 新 船 换皮 活动 稍微 放慢 下来 多花 时间 往副游 定位 做 系统 体验 优化 远征 参考 米家 自行 选择 需 资源类型 时长 不用 陆续 上线 以前 学习 少前 妖精 指挥 喵 搞 成圣 遗物 那种 词条 随机 玩家 喷 久 这种 纯加 数值 系统 意义 世界 花得 时间 真长 实际 体验 资源 不同 刷 主线 图 基本 没 区别 主线 图 刷 资源 特定 船 基本 碰 碧蓝 现在 走 史实 路线 走 架空 以往 活动 主线 主线 功能 整合 起来 世界 保留 月度 boss 每次 活动 商店 pt 点想 满 一直 挂 刷 增加 新 资源 降低 需要 pt 点 要求 迷 说实话 碧蓝 流水 应该 在线 时 长 大头 不能 做 扫荡 女儿 养成 小游戏 不必要 选择 系统 建议 设定 独立 扩展 包 减少 游戏 大小 未来 3d 宿舍 农场 未 挺 期待 希望 不要 喵 搞个 半成品 后面 摆 看着 新 游星 原做 测试 服 上面 建议 可能 不切实际 优化 方向 其实 很多 主要 厂商 相关 部门 关不 关心 愿不愿意 听 玩家 社区 反馈 可能 有人 会 说 游戏 自律 放 一边 挂 玩 嫌 系统 复杂 体验 没 说 资源 一定 要全 游戏 服务 玩家 游戏 会 影响 社区 会 市场 选择 社区 市场 反馈 说明 问题 目前 热门 游戏 很多 喷 点 总会 几处 可取 学习 点 本家 觉得 没 必要 地方 竞品 做 换来 口碑 一个 细节 可能 逐渐 形成 游戏 优势 玩家 社区 乐于 讨论 容易 吸引 玩家 游玩 切入点 碧蓝 走 现在 离不开 建立 当初 玩家 群体 累积 积极 口碑 水能载舟 亦能覆舟 现在 碧蓝 面临 处境 相信 厂商 会 明白 玩家 反映 普遍 问题 游戏 改进 体验 地方 个人 认为 厂商 应该 重视 一下 看到 评论 说 现在 留下 碧蓝 一大部分 舍不得 情怀 希望 游戏 稳定 运营 下去 但愿 不久以后 碧蓝 游戏 社区 氛围 有所改善 先 保持 积极 观望 吐槽 现在 q 版 小人 人均 多动症 说 舰装 q 版能 不能 别搞 不能 参考 以往 精简 一点 打开 研发 舰船 小人 列表 看着 同级 船 科研 船 放在 一起 突兀 立绘要 时代 搞 风格 差异化 理解 小人 没 必要 搞 霸气',pos
'久 之前 打算 玩 算是 小时候 一大 愿望 好玩',pos
'前三名 莉莉丝 不带 觉得 强度 合适',neg
'萌新 请问 大佬 需要 注意',pos
'没有 陪 只会 孤独 不要 听 网上 说 光遇 治愈 其实 迷惑 建模 歧视 搞 h 媚 男姐 孤狼 习惯 景点 挂机 挺',pos
